"~id","~labels","name","founded_in","type","year","gender","origin"
"0","Place","Museo de la Ciudad ","1997","Espacio público estatal",,,
"1","Place","Galería Libertad","1987","Espacio público estatal",,,
"2","Place","Galería Municipal","2008","Espacio público municipal",,,
"3","Place","Galería DaSubstanz","2014","Galería y venta de arte",,,
"4","Place","Galería Impulso","2015","Galería y venta de arte",,,
"5","Place","Museo de Arte Contemporáneo de Querétaro","2018","Espacio público estatal",,,
"6","Place","Galería Balneario","2015","Galería y venta de arte",,,
"7","Place","Galería Madriguera Gráfica","2015","Galería-Taller y venta de arte",,,
"8","Place","Pop-ups en Querétaro","1990","Venta y exhibición de arte",,,
"9","Place","Diegorose","2018","Galería y venta de arte",,,
"10","Place","Centro de Arte Bernardo Quintana Arrioja","2004","Espacio universitario",,,
"11","Place","Galería Pazall","2019","Galería y venta de arte",,,
"12","Place","Galería Nuun","2014","Galería y venta de arte",,,
"13","Place","Museo Regional de Querétaro","1987","Espacio público federal",,,
"14","Place","Museo de Arte de Querétaro","1988","Espacio público estatal",,,
"15","Place","Galería Rizoma","2017","Exhibición de arte",,,
"16","Place","Galería 1 y 2 CECEQ","2003","Espacio público estatal",,,
"17","Place","Centro de las Artes de Querétaro","1996","Espacio público estatal",,,
"18","Place","Fundación Carol Rolland","2014","Galería y venta de arte",,,
"19","Place","BEMA","2019","Exhibición de arte",,,
"20","Place","ARCA","2013","Galería y venta de arte",,,
"21","Place","Antigua estación del Ferrocarril","2015","Espacio público municipal",,,
"22","Place","Centro Cultural Ciudad Maderas","2015","Espacio público municipal",,,
"23","Place","Ánimas","2017","Exhibición de arte",,,
"24","Place","Museo de Arte Sacro","2015","Exhibición de arte",,,
"25","Place","Museo de los Conspiradores","2015","Espacio público estatal",,,
"27","Place","Casa Ignacio Mena","1971","Espacio público municipal",,,
"30","Place","Bo Concept","2019","Venta y exhibición de arte",,,
"31","Place","Convivio","2019","Venta y exhibición de arte",,,
"32","Place","Arte Por favor","2019","Venta y exhibición de arte",,,
"34","Place","Outsiders Gallery","2019","Venta y exhibición de arte",,,
"35","Place","Vive Arte Querétaro",2019,"Venta y exhibición de arte",,,
"36","Exhibition","Zoo Sapiens",,"individual",2016,,
"37","Exhibition","Zonas de opacidad",,"individual",2017,,
"38","Exhibition","Zona tr3s",,"colectiva",2019,,
"40","Exhibition","Yelmos",,"individual",2013,,
"41","Exhibition","Voyager III",,"individual",2015,,
"42","Exhibition","Vollager III",,"individual",2015,,
"43","Exhibition","Volver a nacer",,"individual",2012,,
"44","Exhibition","Voluntades descompuestas",,"individual",2012,,
"45","Exhibition","Voluntades Cotidianas",,"individual",2015,,
"46","Exhibition","Visionarios",,"individual",2017,,
"47","Exhibition","Visible invisibilización",,"colectiva",2018,,
"48","Exhibition","Vitruvio",,"individual",2012,,
