"~id","~start_node_id","~end_node_id","~relationship_type"
"0","6","36","PRESENTED"
"1","3","37","PRESENTED"
"2","11","38","PRESENTED"
"4","1","40","PRESENTED"
"5","2","42","PRESENTED"
"6","0","47","PRESENTED"
"7","1","48","PRESENTED"
"8","1","49","PRESENTED"
"9","3","50","PRESENTED"
"10","6","51","PRESENTED"
"11","8","52","PRESENTED"
"12","5","54","PRESENTED"
"13","8","53","PRESENTED"
"14","6","55","PRESENTED"
"15","0","56","PRESENTED"
"16","1","57","PRESENTED"
"17","6","58","PRESENTED"
"18","3","59","PRESENTED"
"19","0","60","PRESENTED"
"20","2","61","PRESENTED"
"21","0","62","PRESENTED"
"22","1","63","PRESENTED"
"23","23","64","PRESENTED"
"24","5","65","PRESENTED"
"25","1","66","PRESENTED"
"26","3","67","PRESENTED"
"27","19","68","PRESENTED"
"28","0","70","PRESENTED"
"29","3","69","PRESENTED"
"30","6","71","PRESENTED"
"31","1","72","PRESENTED"
"32","1","73","PRESENTED"
"33","1","74","PRESENTED"
"34","0","75","PRESENTED"
"35","0","76","PRESENTED"
"36","1","77","PRESENTED"
"37","12","79","PRESENTED"
"38","2","80","PRESENTED"
"39","1","81","PRESENTED"
"40","1","82","PRESENTED"
"41","2","83","PRESENTED"
"42","16","84","PRESENTED"
"43","0","85","PRESENTED"
"44","1","86","PRESENTED"
"46","1","88","PRESENTED"
"47","1","89","PRESENTED"
"48","1","90","PRESENTED"
"50","0","92","PRESENTED"
"51","1","93","PRESENTED"
"52","1","94","PRESENTED"
"53","5","95","PRESENTED"
"54","2","97","PRESENTED"
"55","0","98","PRESENTED"
"56","0","99","PRESENTED"
"57","0","100","PRESENTED"
"58","0","101","PRESENTED"
"59","1","102","PRESENTED"
"60","0","103","PRESENTED"
"61","24","105","PRESENTED"
"62","10","104","PRESENTED"
"63","1","107","PRESENTED"
"64","2","109","PRESENTED"
"65","0","110","PRESENTED"
"66","3","111","PRESENTED"
"67","1","112","PRESENTED"
"68","1","113","PRESENTED"
"69","9","114","PRESENTED"
"70","1","116","PRESENTED"
"71","1","117","PRESENTED"
"72","2","118","PRESENTED"
"73","1","119","PRESENTED"
"74","1","120","PRESENTED"
"75","1","122","PRESENTED"
"76","0","124","PRESENTED"
"77","4","126","PRESENTED"
"78","0","125","PRESENTED"
"79","6","127","PRESENTED"
"80","4","128","PRESENTED"
"81","5","130","PRESENTED"
"82","0","131","PRESENTED"
"83","15","132","PRESENTED"
"84","0","133","PRESENTED"
"85","0","134","PRESENTED"
"86","6","135","PRESENTED"
"87","1","136","PRESENTED"
"89","2","138","PRESENTED"
"90","1","139","PRESENTED"
"91","2","144","PRESENTED"
"92","3","145","PRESENTED"
"93","0","146","PRESENTED"
"94","2","147","PRESENTED"
"96","3","150","PRESENTED"
"97","1","149","PRESENTED"
"98","1","151","PRESENTED"
"99","3","152","PRESENTED"
"100","1","153","PRESENTED"
"101","1","155","PRESENTED"
"102","5","156","PRESENTED"
"103","1","157","PRESENTED"
"104","2","158","PRESENTED"
"105","0","159","PRESENTED"
"106","3","160","PRESENTED"
"107","1","161","PRESENTED"
"108","6","162","PRESENTED"
"109","1","163","PRESENTED"
"110","0","164","PRESENTED"
"111","1","165","PRESENTED"
"112","17","167","PRESENTED"
"113","2","169","PRESENTED"
"114","1","168","PRESENTED"
"115","0","170","PRESENTED"
"116","0","171","PRESENTED"
"117","3","172","PRESENTED"
"118","3","173","PRESENTED"
"119","3","174","PRESENTED"
"120","0","176","PRESENTED"
"121","0","177","PRESENTED"
"122","9","179","PRESENTED"
"123","2","180","PRESENTED"
"124","0","181","PRESENTED"
"125","1","182","PRESENTED"
"126","0","183","PRESENTED"
"127","0","184","PRESENTED"
"128","11","185","PRESENTED"
"129","18","186","PRESENTED"
"130","4","187","PRESENTED"
"131","1","188","PRESENTED"
"132","4","189","PRESENTED"
"133","2","190","PRESENTED"
"134","1","192","PRESENTED"
"135","0","193","PRESENTED"
"136","25","194","PRESENTED"
"138","0","196","PRESENTED"
"139","1","197","PRESENTED"
"140","6","198","PRESENTED"
"142","0","201","PRESENTED"
"143","0","202","PRESENTED"
"144","7","203","PRESENTED"
"145","2","204","PRESENTED"
"146","1","206","PRESENTED"
"147","0","205","PRESENTED"
"148","8","208","PRESENTED"
"149","0","207","PRESENTED"
"150","5","209","PRESENTED"
"151","0","210","PRESENTED"
"152","0","213","PRESENTED"
"153","0","212","PRESENTED"
"154","7","214","PRESENTED"
"155","1","215","PRESENTED"
"156","30","216","PRESENTED"
"157","0","219","PRESENTED"
"158","1","221","PRESENTED"
"159","1","222","PRESENTED"
"160","1","223","PRESENTED"
"161","1","224","PRESENTED"
"162","0","225","PRESENTED"
"163","0","226","PRESENTED"
"164","1","228","PRESENTED"
"165","0","227","PRESENTED"
"166","1","229","PRESENTED"
"167","1","230","PRESENTED"
"168","0","231","PRESENTED"
"169","1","232","PRESENTED"
"170","3","233","PRESENTED"
"171","4","234","PRESENTED"
"172","5","236","PRESENTED"
"173","0","237","PRESENTED"
"174","0","238","PRESENTED"
"175","4","239","PRESENTED"
"176","15","240","PRESENTED"
"177","1","242","PRESENTED"
"178","10","243","PRESENTED"
"179","9","246","PRESENTED"
"180","1","245","PRESENTED"
"181","0","247","PRESENTED"
"182","3","249","PRESENTED"
"183","0","248","PRESENTED"
"184","0","250","PRESENTED"
"185","4","252","PRESENTED"
"186","4","251","PRESENTED"
"187","34","253","PRESENTED"
"189","0","255","PRESENTED"
"190","0","256","PRESENTED"
"191","3","257","PRESENTED"
"192","0","259","PRESENTED"
"193","2","258","PRESENTED"
"194","7","261","PRESENTED"
"195","0","260","PRESENTED"
"196","1","262","PRESENTED"
"197","2","263","PRESENTED"
"198","3","264","PRESENTED"
"199","1","265","PRESENTED"
"200","5","267","PRESENTED"
"201","0","268","PRESENTED"
"202","2","269","PRESENTED"
"203","1","270","PRESENTED"
"204","1","271","PRESENTED"
"205","0","272","PRESENTED"
"206","4","273","PRESENTED"
"207","4","274","PRESENTED"
"208","9","276","PRESENTED"
"209","2","277","PRESENTED"
"210","0","278","PRESENTED"
"211","1","279","PRESENTED"
"212","1","280","PRESENTED"
